"","n","S","S.hat.norm","Bias.norm","LL.norm","UL.norm","coverage.norm","LL.prob.norm","UL.prob.norm","S.hat.t","Bias.t","LL.t","UL.t","coverage.t","LL.prob.t","UL.prob.t","S.hat.robust","Bias.robust","LL.robust","UL.robust","coverage.robust","LL.prob.robust","UL.prob.robust"
"25",500,0.4,0.0020063856659901,-0.00150811286453707,0.310672549029194,0.485976982539805,0.933,0.028,0.039,0.00229559900986877,-0.00089221833918365,0.307796672063866,0.490048092325937,0.937,0.027,0.036,0.00260037320072207,-0.000834595511724624,0.30784746013852,0.490112639224884,0.926,0.035,0.039
"26",50,0.5,0.0221207503232642,-0.000306780773397816,0.223326237094889,0.773907077463149,0.918,0.043,0.039,0.0286183657048345,0.00565961773513665,0.211230722924671,0.793680884720591,0.899,0.037,0.064,0.0349383427647647,0.00647002917345917,0.212629733105106,0.793397642091551,0.862,0.056,0.082
"27",100,0.5,0.0105770365720329,0.00236004093393631,0.306061994731035,0.698065458508994,0.935,0.033,0.032,0.0137080546156829,0.00635182108966645,0.296379219474145,0.713805408242223,0.928,0.043,0.029,0.0169069126865033,0.0052816541348092,0.295176458040019,0.712751975982802,0.91,0.049,0.041
"28",150,0.5,0.00654020084557437,-0.000835321901887716,0.337003809249185,0.657064378290499,0.945,0.024,0.031,0.0082711175121499,1.84588741851078e-05,0.329213737648555,0.669337716542651,0.938,0.031,0.031,0.00977077435202251,-0.00031803986720105,0.328842085652943,0.669039168205893,0.926,0.039,0.035
"29",250,0.5,0.0040405379813042,0.00194354777450807,0.378237735212729,0.626155629043759,0.936,0.036,0.028,0.0052128289713277,0.00441425298112223,0.372199904344186,0.635730006286711,0.933,0.036,0.031,0.00627051727858086,0.00264057508287924,0.370452902765119,0.633933163322642,0.889,0.052,0.059
"30",500,0.5,0.00196917011737919,-0.0014230562605711,0.410259619592697,0.585564106895887,0.94,0.025,0.035,0.00227985336533461,-0.00136884354188029,0.405417566667559,0.591398779982009,0.946,0.022,0.032,0.00280390533979389,-0.00220031285791714,0.404594098570064,0.590560149833419,0.92,0.039,0.041
"31",50,0.6,0.0217342578758495,-0.00546521720329103,0.316769830439971,0.870474984317217,0.918,0.034,0.048,0.0296025117209654,0.00327423119340621,0.298168745666635,0.901853328528011,0.919,0.033,0.048,0.0391775193979643,0.00409287979075986,0.298869295715112,0.90242086613959,0.882,0.052,0.066
"32",100,0.6,0.0107218920185034,0.000403494436935918,0.402784954611259,0.794777805532875,0.926,0.044,0.03,0.0139464253609971,0.00256263334742002,0.387582933872097,0.814982740001392,0.938,0.033,0.029,0.0171522441582395,0.00193964288204742,0.386879798585241,0.814448993116441,0.902,0.053,0.045
"33",150,0.6,0.00687075603702471,-0.00528472232034945,0.43144831698711,0.751508822320953,0.921,0.033,0.046,0.00905306534136393,-0.00526037696525152,0.419938334299463,0.767847826902296,0.929,0.027,0.044,0.011726255894937,-0.0043783045194799,0.42070240131236,0.768850361495758,0.896,0.05,0.054
"34",250,0.6,0.00377096195337854,-0.00279416690368264,0.472978002313905,0.72089587436748,0.934,0.028,0.038,0.00510683124026362,-0.000894952245674403,0.463815890186078,0.733370957894107,0.943,0.024,0.033,0.00635634925805588,-0.00170747103024304,0.463002390497301,0.732561627632101,0.913,0.043,0.044
"35",500,0.6,0.00209244608866713,0.00228796240889996,0.514805036234977,0.690109444338909,0.926,0.041,0.033,0.00268320736609784,0.00319280113188924,0.507586580703533,0.6982843901791,0.936,0.035,0.029,0.00333242985237413,0.00376762808195373,0.508136394219912,0.69888419777705,0.909,0.049,0.042
"36",50,0.7,0.0216459044849062,-0.00707938270354814,0.413614733354832,0.967849504323237,0.916,0.035,0.049,0.0320143681764874,0.000428338120217273,0.386212946292497,1.00834769315787,0.922,0.033,0.045,0.0428720117871067,0.00611432438246822,0.391070111146929,1.01481524397146,0.88,0.058,0.062
"37",100,0.7,0.0106379540516533,-0.00216754130153989,0.500896038581739,0.892888528141633,0.917,0.042,0.041,0.0148456017937251,0.000136144262346624,0.479337784187625,0.918104915521938,0.926,0.035,0.039,0.0204478614958688,-9.00250873490816e-05,0.478940929210562,0.918062852068586,0.874,0.062,0.064
