"","n","S","S.hat.norm","Bias.norm","LL.norm","UL.norm","coverage.norm","LL.prob.norm","UL.prob.norm","S.hat.t","Bias.t","LL.t","UL.t","coverage.t","LL.prob.t","UL.prob.t","S.hat.robust","Bias.robust","LL.robust","UL.robust","coverage.robust","LL.prob.robust","UL.prob.robust"
"1",50,0,0.00731204876325367,0.109993243730786,0.00208811248401486,0.363568803885427,0.974,0.026,0,0.00771596284458759,0.11142143719695,0.00217856318249917,0.316552801096407,0.974,0.026,0,0.00786111733520776,0.110578566712849,0.00249505042333246,0.315178114312492,0.976,0.024,0
"2",100,0,0.00342051850001854,0.0785123318955618,0.00134518325430289,0.259419408351747,0.975,0.025,0,0.00354304130735139,0.0791647061506684,0.001611764071122,0.226024888869991,0.976,0.024,0,0.0036807354364559,0.0795070495053682,0.00180409107147957,0.226395605097413,0.973,0.027,0
"3",150,0,0.00255221401040774,0.0668718540395781,0.00140534823211418,0.214694217219345,0.97,0.03,0,0.00259462279734551,0.0672487209741349,0.00141581762677146,0.187265472375115,0.971,0.029,0,0.00256676786815289,0.0671327327528242,0.00121327020804445,0.187121819595388,0.975,0.025,0
"4",250,0,0.00140500158005015,0.0517229636113617,0.000851387487467995,0.166863010984786,0.979,0.021,0,0.00140611911068241,0.0518504849958887,0.000807815453703388,0.145344145227511,0.978,0.022,0,0.00141901784815871,0.0517071459165716,0.0008579276308806,0.145195654177179,0.976,0.024,0
"5",500,0,0.000696120360237703,0.0357271005023393,0.000498440603199875,0.116758802351241,0.978,0.022,0,0.000699445821577617,0.0357876973708766,0.000474844997292414,0.101485584046005,0.978,0.022,0,0.000699293392963175,0.0357773072835818,0.000481820853242741,0.101466031459539,0.978,0.022,0
"6",50,0.1,0.0107307109913957,0.0439286448735226,0.0074709484032138,0.406109290998435,0.947,0.031,0.022,0.0115193091624919,0.0462466454955751,0.00771462150638597,0.363769761073968,0.918,0.031,0.051,0.0117169473002639,0.0444714044871916,0.00793299459544874,0.361309249501441,0.913,0.036,0.051
"7",100,0.1,0.00629724253699218,0.012953956890328,0.00782933121517492,0.298233955219748,0.943,0.023,0.034,0.00653168579418678,0.0139216874499523,0.00782311662625886,0.269311746244688,0.917,0.024,0.059,0.006606602306732,0.0131003927922777,0.00794394544769748,0.268300870438389,0.916,0.026,0.058
"8",150,0.1,0.00465861768649642,0.00768140387174968,0.00904324928207048,0.261183802195939,0.95,0.02,0.03,0.00475128123182682,0.00817740989647522,0.00893134734609876,0.238523461612513,0.916,0.027,0.057,0.00484896661587507,0.00808879255464449,0.00917515590447849,0.238391274411031,0.915,0.024,0.061
"9",250,0.1,0.00359085651876833,0.00240411156881298,0.0146772721775083,0.223186076601391,0.949,0.023,0.028,0.00367287129585814,0.00294981410637483,0.0147763128547331,0.208722683819031,0.916,0.025,0.059,0.00382299443924513,0.00368002845347298,0.0155439414615164,0.209576772049124,0.911,0.029,0.06
"10",500,0.1,0.00186969744562957,0.00137030373588511,0.0238812517537822,0.188691430083014,0.956,0.025,0.019,0.001895656211985,0.00170856405271303,0.0239782540988538,0.182108278908024,0.929,0.03,0.041,0.00191457838619758,0.00183633347377208,0.0241239280252359,0.182247958044608,0.931,0.029,0.04
