"","n","S","S.hat.norm","Bias.norm","LL.norm","UL.norm","coverage.norm","LL.prob.norm","UL.prob.norm","S.hat.t","Bias.t","LL.t","UL.t","coverage.t","LL.prob.t","UL.prob.t","S.hat.robust","Bias.robust","LL.robust","UL.robust","coverage.robust","LL.prob.robust","UL.prob.robust"
"29",250,0.5,0.00466298279328862,0.00189447403260554,0.350151392123633,0.598069235077002,0.927,0.011,0.062,0.00465575899886563,-0.0235542771460045,0.345068756151665,0.606963653773739,0.927,0.011,0.062,0.00550118578768591,-0.0232330940877366,0.345359177419973,0.607315930269473,0.909,0.017,0.074
"30",500,0.5,0.00183721526537909,0.000297356525441054,0.422517966967914,0.597822455236679,0.95,0.04,0.01,0.00214358548828254,0.011065923575486,0.417591293045331,0.604085782025089,0.948,0.038,0.014,0.00269715590927303,0.0105472906177484,0.417073863817684,0.603566573161513,0.926,0.055,0.019
"31",50,0.6,0.0200506246083998,-0.00504093604372867,0.332270007941529,0.886871196625273,0.953,0.024,0.023,0.0270406764219189,0.0232787532488652,0.315612349885639,0.923795536163665,0.928,0.037,0.035,0.0325356107648795,0.0203799663999706,0.312908557630104,0.920731592531034,0.908,0.052,0.04
"32",100,0.6,0.0101935210702359,-0.000281009582596681,0.385550198640328,0.777543310063005,0.949,0.02,0.031,0.0115576940796925,-0.013469330172089,0.372526500517848,0.798020289269153,0.954,0.018,0.028,0.0163937824062788,-0.0142214612249323,0.37164046141625,0.797414585368497,0.906,0.041,0.053
"33",150,0.6,0.00706478866894332,-0.00174591862516271,0.41103212207819,0.731092657900427,0.949,0.007,0.044,0.00752035938676418,-0.0256885172806944,0.40046187739369,0.74650815236808,0.948,0.007,0.045,0.00994053093612926,-0.0237426757159376,0.402249904331083,0.748611586541852,0.906,0.031,0.063
"34",250,0.6,0.00382760982246776,0.00246370531685976,0.475037522662252,0.722955372157287,0.949,0.024,0.027,0.00472305819273461,0.000877544510832591,0.465535598860753,0.735193708186072,0.946,0.021,0.033,0.00684928590091031,0.000435951782581942,0.465059476301998,0.734789242902475,0.889,0.052,0.059
"35",500,0.6,0.00220524027592956,0.000975118609764307,0.509433787699292,0.684738235232973,0.949,0.022,0.029,0.00260947738808129,-0.00275871829827703,0.50178226101075,0.692189269303626,0.931,0.029,0.04,0.00333595908320852,-0.00290895447898293,0.501623488448681,0.692048017390174,0.913,0.042,0.045
"36",50,0.7,0.0152457212976836,-0.00235202164546778,0.50238408674536,1.05674986291167,0.909,0.085,0.006,0.0248720571258092,0.0870274472444106,0.465052659771669,1.10291982795268,0.945,0.05,0.005,0.0397854547110557,0.0884773127902557,0.465726935478738,1.10514178191325,0.884,0.102,0.014
"37",100,0.7,0.0111133566621749,-0.00022071814362099,0.461511851766609,0.853504246110893,0.931,0.007,0.062,0.0122216071879601,-0.0390529190993409,0.442647422813173,0.876515623688954,0.936,0.011,0.053,0.0161503475239928,-0.0380250785173953,0.443479595269445,0.877745456492663,0.9,0.023,0.077
"38",150,0.7,0.00557397330108332,-0.000801421797481383,0.580316290823951,0.900376925796739,0.925,0.068,0.007,0.00810536658239698,0.0423372356077358,0.560295448063635,0.922416061722008,0.942,0.05,0.008,0.0122146982184451,0.0426705114794394,0.560501257085332,0.922882499680174,0.89,0.09,0.02
"39",250,0.7,0.00413414632941379,-0.00271384634196752,0.561925133399232,0.809843146695769,0.941,0.016,0.043,0.00481550186474845,-0.0132028769950459,0.548284257174869,0.824186576419626,0.942,0.016,0.042,0.00662555455739757,-0.0146383575414153,0.546864689390727,0.822738406875031,0.9,0.022,0.078
"40",500,0.7,0.00203223815603965,-0.0012215874806593,0.604895238152835,0.780199651635459,0.948,0.018,0.034,0.00241887344583445,-0.00639274772215493,0.5956450631395,0.791003692034218,0.952,0.019,0.029,0.00318552389763035,-0.00833304905966286,0.593746166900052,0.789023360704206,0.914,0.028,0.058
"41",50,0.8,0.0199301304962337,0.00851761622052916,0.524813376192841,1.07918122080565,0.954,0.027,0.019,0.0277511151647522,0.0168690040332351,0.491835733805544,1.13572170521235,0.955,0.026,0.019,0.0378374905781402,0.0162259001753618,0.490844159836081,1.13546903558861,0.916,0.05,0.034
"42",100,0.8,0.00973328674943031,-5.85312485429762e-05,0.584731639599742,0.976724125204112,0.953,0.015,0.032,0.0124630145814071,-0.0143370392436866,0.559327280746607,1.00895991230503,0.959,0.01,0.031,0.0202334003661496,-0.0147444903241712,0.558712388889187,1.00877719442481,0.899,0.038,0.063
"43",150,0.8,0.00786032430279192,-0.000486830628124727,0.565288237438701,0.885348780263936,0.845,0.006,0.149,0.00849550981494066,-0.0719459782791805,0.546760966098107,0.907407589628993,0.87,0.007,0.123,0.0122757767603069,-0.0695033547161343,0.548974146785221,0.910081380835586,0.815,0.019,0.166
"44",250,0.8,0.00468983060552312,-0.000605352891161167,0.629718819321016,0.877636830861432,0.885,0.002,0.113,0.00542133170700294,-0.0446947671033052,0.614017621742954,0.895402137267189,0.882,0.005,0.113,0.00790961598113834,-0.0443036906846386,0.614341444587921,0.895862342760918,0.83,0.023,0.147
"45",500,0.8,0.00197219554831603,-0.00111937250565463,0.70931533353246,0.884619831810921,0.951,0.023,0.026,0.00254552037076458,-0.00165912903895911,0.697324224189864,0.898742404171242,0.954,0.023,0.023,0.00351095966443837,-0.00213708968330735,0.696847316401758,0.898264016121681,0.918,0.044,0.038
"46",50,0.9,0.028881528515372,-0.0043599270623297,0.467983420413775,1.02245048882975,0.821,0.001,0.178,0.0256326981827493,-0.145528616042768,0.435499536733903,1.0671887343496,0.839,0.002,0.159,0.0313435475831695,-0.147705665071268,0.433375625673969,1.06517364378377,0.786,0.008,0.206
"47",100,0.9,0.00979878053030565,6.80608241491141e-05,0.738637879849153,1.13063043784936,0.929,0.058,0.013,0.0158581948463729,0.043330760889864,0.705353108076628,1.17798474091159,0.94,0.049,0.011,0.0229416126613146,0.0425681838684499,0.704462914682852,1.17736374916029,0.89,0.081,0.029
"48",150,0.9,0.00876882091290145,0.00225323541906878,0.628665925305721,0.948726567691363,0.716,0,0.284,0.00897437628489528,-0.110463587111855,0.604892226744002,0.972147418065797,0.76,0.003,0.237,0.0128780564962728,-0.108565802934247,0.606585093153595,0.974253021603417,0.712,0.009,0.279
"49",250,0.9,0.0035917235958401,0.000260028235673355,0.813809088039389,1.06172688962054,0.908,0.09,0.002,0.00553764001598238,0.0384063292381336,0.788807519266006,1.08667388483357,0.937,0.058,0.005,0.00894551450488773,0.0356888197052512,0.786162578338193,1.08388809108391,0.864,0.105,0.031
"50",500,0.9,0.00209945220326729,-0.000676599381746202,0.800960758208004,0.976265297208305,0.947,0.008,0.045,0.00280855280930589,-0.0113577823853991,0.784737847264641,0.991896771158132,0.933,0.016,0.051,0.00414361947326618,-0.0121597786830334,0.783944882310954,0.99108656398266,0.877,0.041,0.082
